,0
high_low,1.703617193458562e-11
close_pct_change,1.703365908411639e-11
close_pct_change_lag1,1.7033563659415024e-11
low_close,1.7033372810012372e-11
momentum_lag1,1.7032227713595936e-11
candle_body_ratio,1.7032068672427e-11
sma_ratio_10_20_lag1,1.703206867242699e-11
cum_return_7_lag1,1.703120985011472e-11
log_return_5,1.7031209850114714e-11
