feature,VIF
close_pct_change,3.8050627160080284
close_pct_change_lag1,1.5142685271350826
cum_return_7_lag1,2.6768011716064306
low_close,3.823644624375823
high_low,2.1755547953669616
sma_ratio_10_20_lag1,1.200397934103421
log_return_5,5.880139338146448
candle_body_ratio,1.2556669168656205
momentum_lag1,4.353152823005873
